NTV2ConversionMode,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_KONAIP_1RX_1TX_2110
NTV2_1080i_5994to525_5994,-,-,-,X,X,X,X,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_2500to625_2500,-,-,-,X,X,X,X,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_720p_5994to525_5994,-,-,-,X,X,X,X,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_720p_5000to625_2500,-,-,-,X,X,X,X,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_525_5994to1080i_5994,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_525_5994to720p_5994,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_625_2500to1080i_2500,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_625_2500to720p_5000,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_720p_5000to1080i_2500,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_720p_5994to1080i_5994,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_720p_6000to1080i_3000,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i2398to525_2398,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i2398to525_2997,-,-,-,X,X,X,X,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i2400to525_2400,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080p2398to525_2398,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080p2398to525_2997,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080p2400to525_2400,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_2500to720p_5000,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_5994to720p_5994,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_3000to720p_6000,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_2398to720p_2398,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_720p_2398to1080i_2398,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_525_2398to1080i_2398,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_525_5994to525_5994,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_625_2500to625_2500,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_525_5994to525psf_2997,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_625_5000to625psf_2500,-,-,-,X,X,-,-,-,X,-,-,X,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_5000to1080psf_2500,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_5994to1080psf_2997,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080i_6000to1080psf_3000,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-
NTV2_1080p_3000to720p_6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_1080psf_2398to1080i_5994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_1080psf_2400to1080i_3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_1080psf_2500to1080i_2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_1080p_2398to1080i_5994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_1080p_2400to1080i_3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTV2_1080p_2500to1080i_2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
