FunctionName,Returns,Brief,DEVICE_ID_NOTFOUND,DEVICE_ID_CORVID1,DEVICE_ID_CORVID3G,DEVICE_ID_KONALHI,DEVICE_ID_KONALHIDVI,DEVICE_ID_KONALHEPLUS,DEVICE_ID_IOEXPRESS,DEVICE_ID_CORVID22,DEVICE_ID_KONA3G,DEVICE_ID_KONA3GQUAD,DEVICE_ID_CORVID24,DEVICE_ID_IOXT,DEVICE_ID_TTAP,DEVICE_ID_IO4K,DEVICE_ID_IO4KUFC,DEVICE_ID_CORVID88,DEVICE_ID_KONA4,DEVICE_ID_KONA4UFC,DEVICE_ID_CORVID44,DEVICE_ID_CORVIDHEVC,DEVICE_ID_CORVIDHBR,DEVICE_ID_KONAIP_4CH_1SFP,DEVICE_ID_KONAIP_4CH_2SFP,DEVICE_ID_KONAIP_1RX_1TX_1SFP_J2K,DEVICE_ID_KONAIP_2TX_1SFP_J2K,DEVICE_ID_KONAIP_2RX_1SFP_J2K,DEVICE_ID_IO4KPLUS,DEVICE_ID_IO4KIP
NTV2DeviceGetActiveMemorySize,ULWord,"Returns the size, in bytes, of the device's active RAM available for video and audio.",0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0x20000000,0xC000000,0x00000000,0x37800000,0x37800000,0x40000000,0x37800000,0x37800000,0x40000000,0x40000000,0x20000000,0x37800000,0x37800000,0x37800000,0x37800000,0x37800000,0x80000000,0x80000000
NTV2DeviceGetDACVersion,UWord,Returns the version number of the DAC on the device having the given ID.,0,0,0,2,2,2,2,0,2,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetDownConverterDelay,UWord,Returns the down-converter delay on the device having the given ID.,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetHDMIVersion,ULWord,Returns the version number of the HDMI input(s) and/or output(s) on the device having the given ID.,0,0,0,1,1,0,1,0,1,1,0,1,1,2,3,0,2,3,0,0,2,3,2,3,3,3,4,4
NTV2DeviceGetLUTVersion,ULWord,Returns the version number of the LUT(s) on the device having the given ID.,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,1,1,1,1,1,1,1,1
NTV2DeviceGetMaxAudioChannels,UWord,Returns the maximum number of audio channels that a single audio system can support on the device having the given ID.,0,16,16,8,8,8,8,16,16,16,16,16,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
NTV2DeviceGetMaxRegisterNumber,ULWord,Returns the highest register number for the device having the given ID.,0,kRegCS2Coefficients9_10,kRegXptSelectGroup10,kRegSDIOut1VPIDB,kRegSDIOut1VPIDB,kRegSDIIn2VPIDB,kRegSDIOut1VPIDB,kRegLTC2AnalogBits32_63,kRegLTC2AnalogBits32_63,kRegLTC4EmbeddedBits32_63,kRegSDIWatchdogKick2,kRegLTC2AnalogBits32_63,kRegSDIOut1VPIDB,kRegReserved511,kRegHDMIV2i2c2Data,kRegReserved511,kRegReserved511,kRegRasterizerControl,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511,kRegReserved511
NTV2DeviceGetMaxTransferCount,ULWord,Returns the maximum number of 32-bit words that the DMA engine can move at a time on the device having the given ID.,0,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1,BIT(21) - 1
NTV2DeviceGetNumDMAEngines,ULWord,Returns the number of DMA engines on the device having the given ID.,0,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NTV2DeviceGetNumVideoChannels,ULWord,Returns the number of video channels supported on the device having the given ID.,0,2,2,2,2,2,1,2,2,4,4,2,1,4,2,8,4,2,4,8,4,4,4,4,4,4,8,8
NTV2DeviceGetPingLED,ULWord,Returns the highest bit number of the LED bits in the Global Control Register on the device having the given ID.,0,BIT(19),BIT(19),BIT(16),BIT(16),BIT(16),BIT(16),BIT(19),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16),BIT(16)
NTV2DeviceGetUFCVersion,ULWord,Returns the version number of the UFC on the device having the given ID.,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,1,1
NTV2DeviceGetNum4kQuarterSizeConverters,UWord,Returns the number of quarter-size 4K/UHD down-converters on the device having the given ID.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
NTV2DeviceGetNumAESAudioInputChannels,UWord,Returns the number of AES/EBU audio input channels on the device having the given ID.,0,0,0,2,2,2,2,0,16,16,0,0,0,0,0,0,16,16,0,0,2,0,0,0,0,0,0,0
NTV2DeviceGetNumAESAudioOutputChannels,UWord,Returns the number of AES/EBU audio output channels on the device having the given ID.,0,0,0,2,2,2,2,0,16,16,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumAnalogAudioInputChannels,UWord,Returns the number of analog audio input channels on the device having the given ID.,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumAnalogAudioOutputChannels,UWord,Returns the number of analog audio output channels on the device having the given ID.,0,0,0,2,2,2,2,0,0,0,0,8,0,8,8,0,0,0,0,0,8,0,0,0,0,0,8,8
NTV2DeviceGetNumAnalogVideoInputs,UWord,Returns the number of analog video inputs on the device having the given ID.,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumAnalogVideoOutputs,UWord,Returns the number of analog video outputs on the device having the given ID.,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumAudioSystems,UWord,Returns the number of independent audio systems on the device having the given ID.,0,1,1,1,1,1,1,2,2,4,4,2,1,4,2,8,4,2,4,4,1,4,4,4,4,4,4,4
NTV2DeviceGetNumCrossConverters,UWord,Returns the number of cross-converters on the device having the given ID.,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumCSCs,UWord,Returns the number of colorspace converter widgets on the device having the given ID.,0,0,2,2,2,1,0,2,2,4,4,2,0,5,3,8,5,2,4,4,4,5,5,4,4,4,5,5
NTV2DeviceGetNumDownConverters,UWord,Returns the number of down-converters on the device having the given ID.,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumEmbeddedAudioInputChannels,UWord,Returns the number of SDI-embedded input audio channels supported by the device having the given ID.,0,16,16,8,8,8,8,16,16,16,16,16,0,16,16,16,16,16,16,16,0,16,16,16,16,16,16,16
NTV2DeviceGetNumEmbeddedAudioOutputChannels,UWord,Returns the number of SDI-embedded output audio channels supported by the device having the given ID.,0,16,16,8,8,8,8,16,16,16,16,16,8,16,16,16,16,16,16,0,0,16,16,16,16,16,16,16
NTV2DeviceGetNumFrameStores,UWord,Returns the number of frame stores on the device having the given ID.,0,2,2,2,2,2,1,2,2,4,4,2,1,4,2,8,4,2,4,8,4,4,4,4,4,4,8,8
NTV2DeviceGetNumFrameSyncs,UWord,Returns the number of frame sync widgets on the device having the given ID.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumHDMIAudioInputChannels,UWord,Returns the number of HDMI audio input channels on the device having the given ID.,0,0,0,8,8,0,8,0,0,0,0,8,0,8,8,0,0,0,0,0,8,0,0,0,0,0,8,8
NTV2DeviceGetNumHDMIAudioOutputChannels,UWord,Returns the number of HDMI audio output channels on the device having the given ID.,0,0,0,8,8,0,8,0,8,8,0,8,8,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8
NTV2DeviceGetNumHDMIVideoInputs,UWord,Returns the number of HDMI video inputs on the device having the given ID.,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
NTV2DeviceGetNumHDMIVideoOutputs,UWord,Returns the number of HDMI video outputs on the device having the given ID.,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
NTV2DeviceGetNumInputConverters,UWord,Returns the number of input converter widgets on the device having the given ID.,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumLUTs,UWord,Returns the number of LUT widgets on the device having the given ID.,0,0,0,2,2,1,0,0,2,4,4,2,0,5,3,8,5,2,4,0,4,5,5,4,4,4,5,5
NTV2DeviceGetNumMixers,UWord,Returns the number of mixer/keyer widgets on the device having the given ID.,0,0,1,0,0,1,0,2,2,2,2,1,0,2,2,4,2,2,2,4,0,2,2,2,2,2,2,2
NTV2DeviceGetNumOutputConverters,UWord,Returns the number of output converter widgets on the device having the given ID.,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumReferenceVideoInputs,UWord,Returns the number of reference video inputs on the device having the given ID.,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
NTV2DeviceGetNumSerialPorts,UWord,Returns the number of RS-422 serial ports on the device having the given ID.,0,1,1,1,1,1,1,2,2,2,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
NTV2DeviceGetNumUpConverters,UWord,Returns the number of up-converters on the device having the given ID.,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NTV2DeviceGetNumVideoInputs,UWord,Returns the number of SDI video inputs on the device having the given ID.,0,1,1,1,1,1,1,2,2,4,4,2,0,4,2,8,4,2,4,4,0,4,4,4,0,4,4,4
NTV2DeviceGetNumVideoOutputs,UWord,Returns the number of SDI video outputs on the device having the given ID.,0,1,1,1,1,2,1,2,2,4,4,2,1,5,3,8,4,2,4,8,0,4,4,4,4,0,5,5
NTV2DeviceGetNum2022ChannelsSFP1,UWord,Returns the number of 2022 channels configured on SFP 1 on the device having the given ID.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,0,0
NTV2DeviceGetNum2022ChannelsSFP2,UWord,Returns the number of 2022 channels configured on SFP 2 on the device having the given ID.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
NTV2DeviceGetNumLTCInputs,UWord,Returns the number of analog LTC inputs on the device having the given ID.,0,1,1,1,1,0,1,2,2,2,2,1,0,1,1,2,2,2,2,0,0,0,0,0,0,0,1,1
NTV2DeviceGetNumLTCOutputs,UWord,Returns the number of analog LTC outputs on the device having the given ID.,0,0,0,1,1,0,1,2,2,2,2,1,0,1,1,1,2,2,1,0,0,0,0,0,0,0,1,1
